epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1013,0.84677,2.71159,0.90813,0.01233,0.99107,0.18448,0.12997,0.65451,3.07454,0.80399,0.00028,0.00028,0.00028
2,39.9439,0.80693,1.10689,0.86998,1,0.1912,0.58003,0.46231,0.78007,2.71142,0.80992,0.000577129,0.000577129,0.000577129
3,58.0737,0.76779,0.95359,0.88177,0.91452,0.3821,0.63588,0.50321,0.79152,2.62889,0.82635,0.000871288,0.000871288,0.000871288
4,75.4841,0.77517,0.9076,0.88664,0.94881,0.331,0.80153,0.62119,0.77821,2.2408,0.84021,0.00116248,0.00116248,0.00116248
5,92.9758,0.86582,0.95491,0.91576,1,0.26672,0.86448,0.66165,0.83405,2.33327,0.84953,0.0014507,0.0014507,0.0014507
6,109.569,0.81543,0.87991,0.89196,0.91612,0.68267,0.88455,0.68847,0.82201,1.82247,0.86184,0.00173595,0.00173595,0.00173595
7,128.015,0.77852,0.82729,0.88426,0.90514,0.875,0.92073,0.68364,0.81875,1.33896,0.85931,0.0019406,0.0019406,0.0019406
8,145.215,0.71708,0.88006,0.8838,0.8025,0.73214,0.80069,0.6616,0.73301,1.56081,0.85236,0.0019307,0.0019307,0.0019307
9,164.162,0.7091,0.76394,0.88539,0.9539,0.92368,0.97252,0.78193,0.73018,0.9045,0.84911,0.0019208,0.0019208,0.0019208
10,181.706,0.68303,0.7623,0.8768,0.90195,0.90179,0.94535,0.7892,0.66834,0.97582,0.82922,0.0019109,0.0019109,0.0019109
11,200.727,0.66764,0.74074,0.88101,0.93627,0.91824,0.96981,0.80025,0.69052,0.78031,0.84075,0.001901,0.001901,0.001901
12,218.703,0.73883,0.71241,0.89089,0.93093,0.96271,0.97536,0.76832,0.72806,0.84345,0.84504,0.0018911,0.0018911,0.0018911
13,236.828,0.71518,0.70489,0.87616,0.93898,0.97321,0.9817,0.81539,0.60236,0.6924,0.82167,0.0018812,0.0018812,0.0018812
14,255.023,0.66272,0.67057,0.86659,0.93977,0.97519,0.97604,0.79801,0.66823,0.67028,0.82584,0.0018713,0.0018713,0.0018713
15,272.687,0.66913,0.64532,0.87781,0.93418,0.96429,0.95278,0.78256,0.68679,0.83154,0.84313,0.0018614,0.0018614,0.0018614
16,291.293,0.71441,0.66188,0.87175,0.93985,0.97656,0.97412,0.80901,0.65559,0.64543,0.83179,0.0018515,0.0018515,0.0018515
17,308.268,0.69007,0.67788,0.88216,0.92961,0.99107,0.97676,0.8287,0.62571,0.59735,0.82866,0.0018416,0.0018416,0.0018416
